cohort,band,score,q,r,burden,sensitivity,ci_lo,ci_hi,n_boot
ham_oof,40-59,msp,0.05,156,0.05012853470437018,0.15869017632241814,,,0
ham_oof,40-59,msp,0.1,311,0.09993573264781491,0.3249370277078086,,,0
ham_oof,40-59,msp,0.15,467,0.1500642673521851,0.4659949622166247,,,0
ham_oof,40-59,msp,0.2,622,0.19987146529562982,0.5692695214105793,,,0
ham_oof,40-59,msp,0.3,934,0.3001285347043702,0.7682619647355163,,,0
ham_oof,40-59,entropy,0.05,156,0.05012853470437018,0.1561712846347607,,,0
ham_oof,40-59,entropy,0.1,311,0.09993573264781491,0.3148614609571788,,,0
ham_oof,40-59,entropy,0.15,467,0.1500642673521851,0.473551637279597,,,0
ham_oof,40-59,entropy,0.2,622,0.19987146529562982,0.5692695214105793,,,0
ham_oof,40-59,entropy,0.3,934,0.3001285347043702,0.7581863979848866,,,0
ham_oof,40-59,margin,0.05,156,0.05012853470437018,0.15869017632241814,,,0
ham_oof,40-59,margin,0.1,311,0.09993573264781491,0.3224181360201511,,,0
ham_oof,40-59,margin,0.15,467,0.1500642673521851,0.4634760705289673,,,0
ham_oof,40-59,margin,0.2,622,0.19987146529562982,0.5869017632241813,,,0
ham_oof,40-59,margin,0.3,934,0.3001285347043702,0.7707808564231738,,,0
ham_oof,40-59,disagreement,0.05,156,0.05012853470437018,0.1486146095717884,,,0
ham_oof,40-59,disagreement,0.1,311,0.09993573264781491,0.28463476070528965,,,0
ham_oof,40-59,disagreement,0.15,467,0.1500642673521851,0.4080604534005038,,,0
ham_oof,40-59,disagreement,0.2,622,0.19987146529562982,0.5340050377833753,,,0
ham_oof,40-59,disagreement,0.3,934,0.3001285347043702,0.760705289672544,,,0
ham_oof,60+,s,0.05,126,0.05015923566878981,0.13885778275475924,0.12814472817397043,0.14857621052445763,500
ham_oof,60+,s,0.1,251,0.0999203821656051,0.2777155655095185,0.2605036517580145,0.29803991999297885,500
ham_oof,60+,s,0.15,377,0.1500796178343949,0.4076147816349384,0.38304992852071923,0.4348695851582163,500
ham_oof,60+,s,0.2,502,0.1998407643312102,0.528555431131019,0.497340061695279,0.5610540206887744,500
ham_oof,60+,s,0.3,754,0.3001592356687898,0.7166853303471444,0.6855057115548792,0.7463005632360471,500
ham_oof,60+,d,0.05,126,0.05015923566878981,0.13997760358342665,0.1304296291850774,0.14970394850080898,500
ham_oof,60+,d,0.1,251,0.0999203821656051,0.2765957446808511,0.25982950610694766,0.2955647196170983,500
ham_oof,60+,d,0.15,377,0.1500796178343949,0.40313549832026874,0.37858664447362794,0.4289591853496618,500
ham_oof,60+,d,0.2,502,0.1998407643312102,0.5240761478163494,0.49108865770728055,0.5583960550796844,500
