arm,budget,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,score
global,0.25,,oof,40-59,3112,397,224,0.17930591259640102,558,0.8816120906801007,0.11838790931989929,47,0.7473118279569892,0.9009449611906437,107,154,15.683046566692974,5.795473121108479,3.817958431991581,msp
global,0.25,,oof,60+,2512,893,559,0.3817675159235669,959,0.9406494960806271,0.05935050391937291,53,0.8741092636579573,0.9141850781880796,185,238,33.89357186976087,11.743018422110453,7.312907732580368,msp
global,0.25,,oof,unknown,38,2,1,0.15789473684210525,6,1.0,0.0,0,,0.2857142857142857,0,0,12.0,4.592592592592592,3.111111111111111,msp
band,0.3,0.905,oof,ALL,6981,1356,818,0.29995702621400944,2094,0.9129793510324484,0.08702064896755157,118,0.8153364632237872,0.9103100112975788,303,421,28.219892730210017,9.889998635792496,6.224019816908993,msp
band,0.3,0.905,oof,<40,1319,64,34,0.44579226686884005,588,0.921875,0.078125,5,0.5833333333333334,0.944951664876477,24,29,46.86529812951583,15.979575483377225,9.802430954149504,msp
band,0.3,0.905,oof,40-59,3112,397,224,0.21690231362467866,675,0.9093198992443325,0.09068010075566746,36,0.76,0.9189808663690796,118,154,18.443672426194883,6.69709166781449,4.347775516138412,msp
band,0.3,0.905,oof,60+,2512,893,559,0.3284235668789809,825,0.9137737961926092,0.08622620380739077,77,0.8385744234800838,0.8944690505612527,161,238,30.24361670239436,10.550945522330819,6.612411286318109,msp
band,0.3,0.905,oof,unknown,38,2,1,0.15789473684210525,6,1.0,0.0,0,,0.2857142857142857,0,0,12.0,4.592592592592592,3.111111111111111,msp
global,0.3,,oof,ALL,6981,1356,818,0.29995702621400944,2094,0.9351032448377581,0.06489675516224191,88,0.8376383763837638,0.9193510857287049,333,421,25.543172239747634,9.015783526112862,5.71030578338591,msp
global,0.3,,oof,<40,1319,64,34,0.22744503411675512,300,0.765625,0.234375,15,0.5161290322580645,0.860749011436954,14,29,28.81884706073664,10.085616716806244,6.338970648020164,msp
global,0.3,,oof,40-59,3112,397,224,0.21401028277634962,666,0.906801007556675,0.09319899244332497,37,0.7581699346405228,0.920138385887788,117,154,18.250856353591157,6.634118068344587,4.310770411295273,msp
global,0.3,,oof,60+,2512,893,559,0.4462579617834395,1121,0.9596864501679732,0.04031354983202684,36,0.8994413407821229,0.9275193246382261,202,238,39.23052246405902,13.486062892302105,8.33717097795072,msp
global,0.3,,oof,unknown,38,2,1,0.18421052631578946,7,1.0,0.0,0,,0.2857142857142857,0,0,14.75,5.4907407407407405,3.638888888888889,msp
