arm,budget,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,system_sens_ci_lo,system_sens_ci_hi,system_sens_ci_method,score,role
band,0.1,0.83,reserved,ALL,4733,2340,779,0.13437566025776462,636,0.555982905982906,0.444017094017094,1039,0.46881390593047034,0.43922245006207117,384,1423,27.341124976030205,9.602993679040166,6.05536741964216,0.5182239419045207,0.5922114251870317,boot,esc_risk,secondary
band,0.1,0.83,reserved,<40,978,279,104,0.2443762781186094,239,0.6666666666666666,0.33333333333333337,93,0.5053191489361702,0.5059894813418896,91,184,35.2038626609442,12.17095851216023,7.564377682403434,0.5493359098295763,0.7689773992596828,boot,esc_risk,secondary
band,0.1,0.83,reserved,40-59,1525,598,174,0.11868852459016394,181,0.5652173913043478,0.4347826086956522,260,0.4594594594594595,0.4316632340501994,117,377,16.87154592979836,6.183636212762426,4.04605426935524,0.4790388868132201,0.6482305390314222,boot,esc_risk,secondary
band,0.1,0.83,reserved,60+,2111,1428,479,0.09568924680246328,202,0.5294117647058824,0.47058823529411764,672,0.4675118858954041,0.4043569126612054,166,838,28.92679355783309,10.120871970066698,6.359687652513421,0.48687691359185764,0.5728536647030197,boot,esc_risk,secondary
band,0.1,0.83,reserved,unknown,119,35,25,0.11764705882352941,14,0.6,0.4,14,0.44,0.2619719824688769,10,24,14.75,5.4907407407407405,3.6388888888888884,0.42111772188209984,0.7612918895466584,CP,esc_risk,secondary
global,0.1,,reserved,ALL,4733,2340,779,0.16522290302133952,782,0.6286324786324786,0.3713675213675214,869,0.513437849944009,0.46675545029647775,554,1423,22.717489516641983,8.092917451563206,5.168003038547452,0.5923995889089724,0.6641905492069935,boot,esc_risk,secondary
global,0.1,,reserved,<40,978,279,104,0.11247443762781185,110,0.5555555555555556,0.4444444444444444,124,0.4337899543378995,0.4694451295150569,60,184,17.06094420600858,6.2454935622317596,4.082403433476395,0.4354191147669409,0.6704951147021658,boot,esc_risk,secondary
global,0.1,,reserved,40-59,1525,598,174,0.12852459016393442,196,0.5752508361204013,0.4247491638795987,254,0.4652631578947368,0.43536167200788245,123,377,18.265579137502822,6.6389265196558025,4.3135959960864,0.48685907197956996,0.660350686883566,boot,esc_risk,secondary
global,0.1,,reserved,60+,2111,1428,479,0.21364282330648982,451,0.6645658263305322,0.3354341736694678,479,0.5519176800748363,0.44843731268207965,359,838,35.4614520640514,12.255087037754159,7.613814032494712,0.6253678912904221,0.7028373054312509,boot,esc_risk,secondary
global,0.1,,reserved,unknown,119,35,25,0.21008403361344538,25,0.6571428571428571,0.34285714285714286,12,0.4782608695652174,0.2211341525857655,12,24,29.695652173913043,10.371980676328501,6.507246376811594,0.47789001660647873,0.8086758978117342,CP,esc_risk,secondary
band,0.15,0.885,reserved,ALL,4733,2340,779,0.21043735474329178,996,0.6418803418803419,0.35811965811965807,838,0.5225071225071225,0.46487190056481115,585,1423,34.064029963113676,11.798689920612883,7.345621912112725,0.6058886517007378,0.6771237904184818,boot,esc_risk,secondary
band,0.15,0.885,reserved,<40,978,279,104,0.2965235173824131,290,0.7168458781362007,0.2831541218637993,79,0.5459770114942529,0.5259902259620735,105,184,40.119871244635185,13.776523605150214,8.507854077253219,0.5999834437086092,0.8131605709962669,boot,esc_risk,secondary
band,0.15,0.885,reserved,40-59,1525,598,174,0.18622950819672132,284,0.6204013377926422,0.37959866220735783,227,0.49330357142857145,0.44107883698569517,150,377,27.509617145997435,9.658023108288724,6.087704300746982,0.5351019796347334,0.7016197558691789,boot,esc_risk,secondary
band,0.15,0.885,reserved,60+,2111,1428,479,0.18900994789199432,399,0.6358543417366946,0.36414565826330536,520,0.5315315315315315,0.4396849702566556,318,838,34.50998123077122,11.944337304325952,7.4312085190368995,0.5951215248166467,0.6740001420454546,boot,esc_risk,secondary
band,0.15,0.885,reserved,unknown,119,35,25,0.19327731092436976,23,0.6571428571428571,0.34285714285714286,12,0.4782608695652174,0.22150952796114085,12,24,26.108695652173914,9.200483091787438,5.818840579710144,0.47789001660647873,0.8086758978117342,CP,esc_risk,secondary
global,0.15,,reserved,ALL,4733,2340,779,0.23663638284386224,1120,0.6991452991452991,0.3008547008547009,704,0.5657001850709439,0.4880563480192948,719,1423,30.764119472340376,10.72094137648827,6.71230575731785,0.6656677761619685,0.7320708724536843,boot,esc_risk,secondary
global,0.15,,reserved,<40,978,279,104,0.1605316973415133,157,0.6057347670250897,0.39426523297491034,110,0.4634146341463415,0.4824089829129023,74,184,23.4464027224014,8.33098001371359,5.3078954719760265,0.48386768948334646,0.7160609207338178,boot,esc_risk,secondary
global,0.15,,reserved,40-59,1525,598,174,0.20590163934426228,314,0.637123745819398,0.362876254180602,217,0.5045662100456622,0.4477754879485111,160,377,30.16627169176668,10.525684693944001,6.5975672943794645,0.5574963810831381,0.7145408429362774,boot,esc_risk,secondary
global,0.15,,reserved,60+,2111,1428,479,0.29227854097584083,617,0.742296918767507,0.25770308123249297,368,0.615866388308977,0.4734093919024592,470,838,42.59263515566728,14.584126633332412,8.982424928865438,0.7056065969485419,0.7775378737291635,boot,esc_risk,secondary
global,0.15,,reserved,unknown,119,35,25,0.2689075630252101,32,0.7428571428571429,0.2571428571428571,9,0.55,0.22973909870461595,15,24,32.73076923076923,11.363247863247862,7.089743589743589,0.5674411503059621,0.875106028083238,CP,esc_risk,secondary
band,0.2,0.92,reserved,ALL,4733,2340,779,0.27593492499471794,1306,0.7085470085470086,0.2914529914529914,682,0.5734834271419638,0.4916248610652975,741,1423,39.94481643031016,13.719350820673686,8.474257698746394,0.6767326881795287,0.7401147273351204,boot,esc_risk,secondary
band,0.2,0.92,reserved,<40,978,279,104,0.35685071574642124,349,0.7706093189964157,0.22939068100358428,64,0.5974842767295597,0.5158585702109157,120,184,45.47737299131649,15.526280067871044,9.536061483181953,0.6638288701393984,0.8571644367716874,boot,esc_risk,secondary
band,0.2,0.92,reserved,40-59,1525,598,174,0.24721311475409835,377,0.6755852842809364,0.32441471571906355,194,0.5325301204819277,0.4685217256258455,183,377,34.82899163702778,12.048525888187523,7.492432738419473,0.6007059800664452,0.7492266993207338,boot,esc_risk,secondary
band,0.2,0.92,reserved,60+,2111,1428,479,0.261013737565135,551,0.7100840336134454,0.2899159663865546,414,0.5876494023904383,0.46438299339240047,424,838,40.39690020532458,13.867001077159877,8.56102125152694,0.6723298825036188,0.7461967343823938,boot,esc_risk,secondary
band,0.2,0.92,reserved,unknown,119,35,25,0.24369747899159663,29,0.7142857142857143,0.2857142857142857,10,0.5238095238095238,0.22473449811579307,14,24,30.7,10.699999999999998,6.7,0.5369553554455799,0.8536452547209408,CP,esc_risk,secondary
global,0.2,,reserved,ALL,4733,2340,779,0.3065708852736108,1451,0.7683760683760684,0.23162393162393158,542,0.6285126799177518,0.5151713012841382,881,1423,37.1816142465952,12.816890848214596,7.943946168538474,0.7373113329456613,0.7977858167264108,boot,esc_risk,secondary
global,0.2,,reserved,<40,978,279,104,0.22903885480572597,224,0.6594982078853047,0.34050179211469533,95,0.5,0.5025075063655985,89,184,32.783821608509044,11.380574734092182,7.099925359208807,0.540517593064763,0.7614966316510619,boot,esc_risk,secondary
global,0.2,,reserved,40-59,1525,598,174,0.2695081967213115,411,0.6923076923076923,0.3076923076923077,184,0.5456790123456791,0.4768302931386706,193,377,37.71413160733549,12.990810659634823,8.04614647009469,0.6146011311501345,0.7644332879698167,boot,esc_risk,secondary
global,0.2,,reserved,60+,2111,1428,479,0.3671245855045002,775,0.8200280112044818,0.17997198879551823,257,0.6965761511216056,0.5073200907941955,581,838,46.957791578570955,16.009783781553477,9.820182222149981,0.7856539835314648,0.850766717085064,boot,esc_risk,secondary
global,0.2,,reserved,unknown,119,35,25,0.3445378151260504,41,0.8285714285714286,0.17142857142857137,6,0.6470588235294118,0.24322344322344325,18,24,37.98275862068966,13.07854406130268,8.097701149425287,0.6635016999818029,0.9343781988437493,CP,esc_risk,secondary
band,0.25,0.935,reserved,ALL,4733,2340,779,0.3456581449397845,1636,0.7752136752136752,0.22478632478632476,526,0.6354816354816355,0.5169800995344157,897,1423,45.88146933517504,15.658257661656492,9.613615326952784,0.7447161577360693,0.8021313881719838,boot,esc_risk,secondary
band,0.25,0.935,reserved,<40,978,279,104,0.43047034764826175,421,0.8243727598566308,0.17562724014336917,49,0.6597222222222222,0.5134491963282002,135,184,52.3695278969957,17.77725321888412,10.858798283261802,0.7391264386189258,0.8924753399093575,boot,esc_risk,secondary
band,0.25,0.935,reserved,40-59,1525,598,174,0.3055737704918033,466,0.7224080267558528,0.2775919732441472,166,0.5710594315245479,0.4917135041472558,211,377,41.6542161093132,14.277639604725184,8.802324303807584,0.6499914965986395,0.7895556988454925,boot,esc_risk,secondary
band,0.25,0.935,reserved,60+,2111,1428,479,0.3377546186641402,713,0.7878151260504201,0.21218487394957986,303,0.6606942889137738,0.49236049089796735,535,838,45.8931420204978,15.662069952822513,9.615855539287459,0.7533926371280237,0.8206252227973363,boot,esc_risk,secondary
band,0.25,0.935,reserved,unknown,119,35,25,0.3025210084033613,36,0.7714285714285715,0.22857142857142854,8,0.5789473684210527,0.2337372448979592,16,24,36.138888888888886,12.476337448559669,7.743827160493827,0.5986367438926854,0.8957895680521848,CP,esc_risk,secondary
global,0.25,,reserved,ALL,4733,2340,779,0.3773505176420875,1786,0.8235042735042735,0.17649572649572653,413,0.6894736842105263,0.5425352792682813,1010,1423,45.108384795560305,15.405768771613973,9.465245566824706,0.7951975403372666,0.8505335285240087,boot,esc_risk,secondary
global,0.25,,reserved,<40,978,279,104,0.2893660531697341,283,0.7132616487455197,0.28673835125448033,80,0.5428571428571428,0.5333826284269393,104,184,39.12504583000841,13.451614294649213,8.31692798757737,0.5952278325123153,0.8104901357754692,boot,esc_risk,secondary
global,0.25,,reserved,40-59,1525,598,174,0.34885245901639345,532,0.754180602006689,0.24581939799331098,147,0.6005434782608695,0.5097172964042521,230,377,46.596968979398525,15.891939363641942,9.750933440490627,0.685374149659864,0.8168428572807753,boot,esc_risk,secondary
