arm,age,lambda_point,boot_median,boot_lo,boot_hi
A4,4,0.527984877655516,0.5404092551721704,0.30108745765106004,0.8725278401955302
A4,5,0.5246569549098488,0.5370854255711255,0.30284539908446356,0.8608606571063167
A4,6,0.5214074116472945,0.533443026220555,0.30468639358067934,0.8496717170086532
A4,7,0.5181578683847404,0.5296425115042556,0.3065273880768951,0.8384390348390143
A4,8,0.5149083251221862,0.5260840660463388,0.30836838257311094,0.8271340449417616
A4,9,0.5116587818596321,0.5225256205884219,0.3102093770693267,0.8158290550445089
A4,10,0.5084092385970779,0.5189627704352848,0.3120503715655425,0.8000483605065264
A4,11,0.5052374673050463,0.5154994269223088,0.3139388446689188,0.7852090292875775
A4,12,0.5020656960130147,0.5119237083110599,0.31582731777229517,0.7703108243208653
A4,13,0.498893924720983,0.5087103442361914,0.3177157908756714,0.7589670547636158
A4,14,0.4957221534289513,0.5056197363039105,0.3196042639790478,0.7487894364636203
A4,15,0.4925503821369197,0.502991525229885,0.3214927370824241,0.7386118181636249
A4,16,0.4894557200296036,0.5004152857563702,0.32342944974345555,0.7273376376046601
A4,17,0.48636105792228745,0.497040404398836,0.325366162404487,0.7146157315928336
A4,18,0.4832663958149714,0.49436847215491975,0.3273028750655185,0.701893825581007
A4,19,0.48017173370765526,0.4907029650306366,0.32719092496621555,0.6891719195691806
A4,20,0.47707707160033913,0.48776733446642906,0.3263996382544365,0.676450013557354
A4,21,0.4740588026216502,0.48514528751173347,0.32726346134799394,0.6645149086321364
A4,22,0.4710405336429612,0.48161403667132585,0.32895330603809614,0.6539888003303086
A4,23,0.46802226466427227,0.4792047861725352,0.33064315072819833,0.6451112389284854
A4,24,0.4650039956855833,0.47552698051995257,0.3323329954183006,0.6362262082613948
A4,25,0.46198572670689436,0.4719723332375477,0.3315871960380185,0.6273054592850242
A4,26,0.45904308366481256,0.4704607632042477,0.3282155652068737,0.6188189681661252
A4,27,0.45610044062273075,0.46773816485956937,0.32538380287762475,0.6103324770472263
A4,28,0.4531577975806489,0.46465894016965836,0.32777784343765626,0.6018459859283274
A4,29,0.4502151545385671,0.4609435699613289,0.3301937034217427,0.5933594948094284
A4,30,0.4472725114964853,0.45782474031547404,0.33260956340582915,0.5848730036905294
A4,31,0.4444046783157505,0.4540980363386886,0.33510185147637256,0.5768170904552931
A4,32,0.4415368451350157,0.45113647173853655,0.337594139546916,0.5687632139702091
A4,33,0.4386690119542809,0.4480037043703937,0.3400864276174595,0.5608914939929827
A4,34,0.43580117877354607,0.44529547393863916,0.3382482382108954,0.5526730138759358
A4,35,0.43293334559281127,0.4420519958403652,0.33828475033339134,0.5446635181316646
A4,36,0.43013945967245343,0.4398538903664493,0.34005424317174604,0.537073879987206
A4,37,0.4273455737520956,0.4371703801190432,0.3417048668576251,0.5294842418427474
A4,38,0.42455168783173775,0.43424920130742994,0.3434360932513526,0.5218946036982891
A4,39,0.4217578019113799,0.4303417829739934,0.34516731964508,0.5155860828722408
A4,40,0.41896391599102206,0.42671081513274456,0.34618753484837256,0.5081522902746168
A4,41,0.4162430706529296,0.42359041760090554,0.34005180705855353,0.5018288719332807
A4,42,0.4135222253148371,0.41971675704753414,0.3339160792687344,0.49410205472064495
A4,43,0.41080137997674465,0.41672060712310866,0.3277803514789154,0.4871200299732037
A4,44,0.4080805346386522,0.4126739936398288,0.32170810112859544,0.4829742718405143
A4,45,0.4053596893005597,0.40821277451589566,0.31568132009255334,0.47988951840331073
A4,46,0.40271093631511873,0.4060431016620923,0.3169503804072642,0.4727662673555472
A4,47,0.4000621833296777,0.4043492846506541,0.3185124600177844,0.4693460030503523
A4,48,0.3974134303442367,0.40323767199557325,0.3201962837904368,0.46676460980138373
A4,49,0.39476467735879567,0.4000785630169497,0.31682080330881934,0.4619661904630886
A4,50,0.3921159243733547,0.3985838309229706,0.3107577443220767,0.46130386190014727
A4,51,0.3895382765481521,0.39663675525588216,0.30516813834633666,0.4617287455112768
A4,52,0.3869606287229495,0.39176200804963923,0.3001306734348233,0.46163343113017974
A4,53,0.3843829808977469,0.3883357105702985,0.29930593391890886,0.46015958370526416
A4,54,0.38180533307254433,0.386125303104931,0.29732526900451905,0.45868573628034853
A4,55,0.37922768524734174,0.3839451907166104,0.29729259352579895,0.45716047124925835
A4,56,0.3747201190650101,0.38138158623595986,0.2968426978388269,0.45229631140747656
A4,57,0.3702125528826785,0.3774771835055407,0.2941419502003194,0.4521900858464493
A4,58,0.36570498670034685,0.375346929737043,0.2875460173069845,0.4522208742526378
A4,59,0.36119742051801523,0.36955269761272025,0.28103314901481263,0.4523733329600946
A4,60,0.3566898543356836,0.3661357419274046,0.2745492434915381,0.45252579166755136
A4,61,0.35425131262716336,0.3636888852319753,0.270423834853905,0.4526784537892309
A4,62,0.35181277091864316,0.35988977889169904,0.2669013753851224,0.4528311159109104
A4,63,0.3493742292101229,0.3572753413520684,0.2617176853564065,0.4529837780325899
A4,64,0.3469356875016027,0.3543203748929572,0.25839260177043877,0.4527099733297778
A4,65,0.34449714579308244,0.3513676977078142,0.25708287070923247,0.4528623101355871
A4,66,0.3421265404328874,0.34824776827104,0.2571417504195776,0.4534407764812654
A4,67,0.33975593507269236,0.34522325108596996,0.2527576952487434,0.45359319564653483
A4,68,0.33738532971249735,0.341474169826145,0.2474874441115526,0.45374561481180425
A4,69,0.3350147243523023,0.33868773004532726,0.24221719297436178,0.4541236340751155
A4,70,0.3326441189921073,0.3363281060794463,0.2369626017906135,0.4542760399391378
A4,71,0.3303403336025862,0.3342693558404341,0.23215890438360282,0.4544286481058373
A4,72,0.3280365482130651,0.3321112347877647,0.22735520697659212,0.45458125627253676
A4,73,0.32573276282354396,0.3299307076827104,0.22255150956958145,0.45473386443923625
A4,74,0.3234289774340229,0.32700269248173813,0.21774781216257078,0.455121462129889
A4,75,0.3211251920445018,0.32473410587953055,0.2129441147555601,0.4563516245324485
A4,76,0.31888708469658733,0.32297490605072166,0.20856146320942548,0.4578324499602602
A4,77,0.31664897734867287,0.32075694070670935,0.20366600357068726,0.46033617124208626
A4,78,0.31441087000075835,0.3184006765829279,0.19863312558179963,0.462459876321171
A4,79,0.3121727626528439,0.3163952211259936,0.19360024759291197,0.4644810099285803
A4,80,0.3099346553049294,0.3143510446721415,0.18856736960402434,0.46488650820730837
A4,81,0.3077610612034441,0.31209757603576127,0.18400522597703117,0.4648948563359168
A4,82,0.3055874671019588,0.3102689258673511,0.179443082350038,0.46490320446452515
A4,83,0.3034138730004734,0.3080307159283089,0.1749089040984869,0.46506953459942446
A4,84,0.3012402788989881,0.3058317272053698,0.17155341147180184,0.4675844404677439
A4,85,0.29906668479750276,0.3035363222139675,0.1694713422976985,0.4700894554031693
A5,0,0.006765269482079684,0.00869463434259531,0.00401017479138682,0.33073958474108833
A5,1,0.008830010191294743,0.0112475077192572,0.0052907603471263045,0.34736154043384665
A5,2,0.010894750900509804,0.013794899987842953,0.006650909821786077,0.3607456206374786
A5,3,0.012959491609724864,0.016342292256428706,0.007938370326149712,0.3705668998494953
A5,4,0.015024232318939923,0.018760763999742917,0.009224325261669105,0.3716445403194549
A5,5,0.017088973028154982,0.02115417941443882,0.010510280197188502,0.3828524177933561
A5,6,0.021446333746280945,0.026062537929908924,0.01346096214531943,0.3957032300826418
A5,7,0.025803694464406904,0.031195413858498333,0.01633039481020548,0.4014554176199834
A5,8,0.030161055182532863,0.03632828978708774,0.019199827475091535,0.40177645478285245
A5,9,0.03451841590065882,0.04146116571567715,0.022069260139977582,0.4020746239798477
A5,10,0.03887577661878479,0.04657003096487548,0.024938692804863632,0.4094281797823857
A5,11,0.046971037819801095,0.05571247789506041,0.030517085812324908,0.4229284651387082
A5,12,0.0550662990208174,0.064814547436331,0.03609547881978618,0.43615827490395187
A5,13,0.06316156022183371,0.07385028447949141,0.04167387182724745,0.4486442574051898
A5,14,0.07125682142285002,0.08301685228789504,0.04725226483470873,0.4615648246162007
A5,15,0.07935208262386632,0.09230446293489694,0.052830657842170003,0.4754001965067599
A5,16,0.09244829211523824,0.1067575263242988,0.06233867412251668,0.4874242956423064
A5,17,0.10554450160661016,0.12073293560717524,0.07184669040286337,0.49606270631544397
A5,18,0.11864071109798208,0.13441054569462618,0.08135470668321004,0.5031367823436064
A5,19,0.131736920589354,0.1482379647407352,0.09086272296355673,0.5177532651235094
A5,20,0.1448331300807259,0.16271448019143347,0.10022528647659229,0.5303090221874833
A5,21,0.16310181710947158,0.18216820894064553,0.11314927217590108,0.5413204929956715
A5,22,0.18137050413821726,0.20229392709213084,0.12608402576968417,0.5522589251558337
A5,23,0.19963919116696296,0.22009212192002894,0.13927535723030052,0.563197357315996
A5,24,0.21790787819570864,0.23770203674591572,0.15336323045355862,0.5728088307910121
A5,25,0.23617656522445432,0.25548552037987393,0.16745670746271124,0.578279501625815
A5,26,0.25801067876649925,0.27737278579916524,0.18578736061519596,0.5849315260762387
A5,27,0.27984479230854414,0.3005168911980736,0.20408652741187622,0.5915835505266623
A5,28,0.30167890585058904,0.3227749366273104,0.22238569420855644,0.5982355749770862
A5,29,0.32351301939263394,0.3462340204382366,0.24068486100523667,0.6048875994275099
A5,30,0.34534713293467884,0.36468045542957983,0.2573753768162535,0.6115396238779336
A5,31,0.36757456926599524,0.38628359225547326,0.27422130558510344,0.6139646667358462
A5,32,0.3898020055973117,0.4040512584154241,0.2910716430944388,0.616128318356036
A5,33,0.4120294419286281,0.42512649002310676,0.30715781813619153,0.6182919699762256
A5,34,0.4342568782599445,0.445767564904502,0.32457552136091483,0.6204109789831199
A5,35,0.456484314591261,0.4672772143613403,0.3423482885547128,0.6228402150700589
A5,36,0.47538452061916775,0.48646959596356537,0.3473277676355182,0.6215770841976609
A5,37,0.4942847266470745,0.5024122102998799,0.3549234274668314,0.620328426212912
A5,38,0.5131849326749812,0.516567472733599,0.3682632244335702,0.6200409422777131
A5,39,0.532085138702888,0.5307435788568751,0.3845581760612003,0.6257556658889718
A5,40,0.5509853447307947,0.5445808566509176,0.3951005338320962,0.6378051363990052
A5,41,0.5633679675412735,0.553903400781784,0.40066176149703703,0.6483223791192362
A5,42,0.5757505903517522,0.5576852887805679,0.4011993691946069,0.6583584451521349
A5,43,0.5881332131622309,0.5605746545381176,0.4026943158944691,0.6692303408827486
A5,44,0.6005158359727096,0.564409042409735,0.40473960972888,0.6857666560181743
A5,45,0.6128984587831884,0.572586996198851,0.40672816393884564,0.7011823792983847
A5,46,0.6167456236957278,0.5743033985255943,0.4073636341415992,0.7059790144198562
A5,47,0.6205927886082673,0.5735297153392289,0.4079991043443528,0.7107756495413277
A5,48,0.6244399535208068,0.5736614406661241,0.40863457454710644,0.7155722846627993
A5,49,0.6282871184333463,0.5724835183921533,0.40927004474986,0.7202977657691623
A5,50,0.6321342833458857,0.5722699153477411,0.4094986666396596,0.7250070481050261
A5,51,0.6268364906321533,0.566469976924264,0.40907195119513057,0.7194495924118165
A5,52,0.6215386979184209,0.56205902224139,0.40835387711187104,0.7138921367186069
A5,53,0.6162409052046885,0.5592068940709853,0.40997480441458195,0.7083346810253973
A5,54,0.6109431124909561,0.556057305500532,0.41173386660234357,0.7027772253321878
A5,55,0.6056453197772237,0.5533918658355484,0.4076277478972256,0.6972197696389781
A5,56,0.5920442085879813,0.544484041774043,0.4038358630693128,0.6824367493573097
A5,57,0.578443097398739,0.5341762232214691,0.4008582025649822,0.6688303264490655
A5,58,0.5648419862094968,0.5233042994112092,0.3916744928316818,0.6558071935222528
A5,59,0.5512408750202544,0.5118088961500262,0.3792425064210246,0.6434381106911315
A5,60,0.5376397638310121,0.5041220185479105,0.3682866731077395,0.6301556449477869
A5,61,0.5179655017053666,0.49217490964255917,0.36420665834950866,0.6101413231734973
A5,62,0.49829123957972105,0.48076492353148537,0.36089262135251826,0.5935128740168133
A5,63,0.4786169774540755,0.4642324700601056,0.34840483109759846,0.57401653006253
A5,64,0.45894271532843,0.44732876667809346,0.33299990863532947,0.5517527254045997
A5,65,0.43926845320278446,0.4297608709942592,0.3175949861730606,0.5298936217641592
A5,66,0.4168531091782912,0.4118012813732592,0.3027074843521826,0.5056778384902122
A5,67,0.39443776515379797,0.3951944881220124,0.28781998253130453,0.4914589620310113
A5,68,0.3720224211293047,0.3744569939273181,0.2729324807104265,0.4720306687209974
A5,69,0.3496070771048114,0.3583135261195337,0.2580449788895484,0.4532987687680897
A5,70,0.3271917330803182,0.34167387554613615,0.24315747706867039,0.4441594406017973
A5,71,0.3057478989892634,0.3231435510369582,0.2298513528181931,0.42607401832162417
A5,72,0.28430406489820864,0.3032747227019056,0.2170476460611922,0.41206666750260973
A5,73,0.2628602308071538,0.2831499876843659,0.20493602441406644,0.40061739077937064
A5,74,0.24141639671609905,0.2615266402789289,0.18981000639259943,0.3955006722335399
A5,75,0.21997256262504428,0.24088350837137834,0.17649053537800055,0.3928136686693028
A5,76,0.20247618269033296,0.22457310674822084,0.16547411741897228,0.38348253621930495
A5,77,0.18497980275562165,0.20637481692059884,0.15373969653196806,0.3696597236046597
A5,78,0.16748342282091036,0.18879572885989185,0.13983099588669506,0.36182702816610085
A5,79,0.14998704288619905,0.172047330001524,0.12494170170915332,0.3568306456421517
A5,80,0.13249066295148773,0.15539560527278193,0.11104451931884933,0.34765130916399256
A5,81,0.1202496918693814,0.14177805519043923,0.1005390327741224,0.3389162521953268
A5,82,0.1080087207872751,0.12850294772645576,0.08971064746265171,0.33171743467332865
A5,83,0.09576774970516877,0.11501320286049116,0.0795231415758878,0.3273492327901167
A5,84,0.08352677862306246,0.10250252604173446,0.0682892050290743,0.3229810309069048
A5,85,0.07128580754095613,0.0901837328792229,0.05700243694723219,0.31861282902369287
A6,0,0.01812458715552675,0.02174947382435154,0.0023209141556260215,0.18008190962534254
A6,1,0.023133450651001565,0.027879032358002195,0.0041278487869230605,0.19717405076641895
A6,2,0.028142314146476378,0.03413865015754712,0.006095608778743572,0.20670130483517649
A6,3,0.03315117764195119,0.040189357155040795,0.008016154544021508,0.20922450779723217
A6,4,0.03816004113742601,0.04635233607559471,0.009534881602080094,0.21949644735922896
A6,5,0.04316890463290082,0.052781119948077944,0.011053608660138683,0.23555088166278262
A6,6,0.05085048806796257,0.06235153433383536,0.014123104090342807,0.24550950944613495
A6,7,0.05853207150302432,0.07163306047193613,0.017042516675623,0.26632693339822994
A6,8,0.06621365493808606,0.0805130718296741,0.01918674530177486,0.28092608330890145
A6,9,0.07389523837314782,0.08927056095215727,0.021330973927926725,0.30279472678540353
A6,10,0.08157682180820956,0.09787847332349325,0.023475202554078586,0.3254100299171324
A6,11,0.09160257605895616,0.10942198865633793,0.026484694281985598,0.34029713138805484
A6,12,0.10162833030970275,0.12060871992621984,0.031418106888346974,0.3550937414672909
A6,13,0.11165408456044935,0.1316025049345852,0.03638123914181215,0.3738374156529855
A6,14,0.12167983881119596,0.14418225044251565,0.041344371395277316,0.3941554275253082
A6,15,0.13170559306194254,0.1557236490410121,0.04630750364874249,0.4144683218648714
A6,16,0.14434299749187357,0.16964426624282217,0.05464708965525992,0.4373071560362096
A6,17,0.1569804019218046,0.1834115860548932,0.06298667566177735,0.45819190162079215
