arm,key,view,budget,conformal,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,system_sens_ci_lo,system_sens_ci_hi,system_sens_ci_method,flag_rate
CASC_CONF,CASC_CONF@0.15,LAM,0.15,True,0.87,reserved,<40,978,279,104,0.7198364008179959,704,0.8853046594982079,0.11469534050179209,32,0.2727272727272727,0.37256830917823486,133,165,76.03054681934283,25.50492606557662,15.399801914823373,0.8206104999062767,0.9408137048660206,boot,0.7321063394683026
CASC_CONF,CASC_CONF@0.15,LAM,0.15,True,0.87,reserved,40-59,1525,598,174,0.41180327868852457,628,0.9013377926421404,0.09866220735785958,59,0.8634259259259259,0.3985011092936302,117,176,81.33366356251238,27.2369204227734,16.41757179482561,0.8533783990972538,0.9409548792988859,boot,0.7980327868852459
CASC_CONF,CASC_CONF@0.15,LAM,0.15,True,0.87,reserved,60+,2111,1428,479,0.6920890573188062,1461,0.9124649859943977,0.08753501400560226,125,0.7030878859857482,0.5412631600533826,510,635,76.29681813227499,25.591890097072977,15.450904490032574,0.8898976896277377,0.9326602660266027,boot,0.8417811463761251
CASC_CONF,CASC_CONF@0.15,LAM,0.15,True,0.87,reserved,unknown,119,35,25,0.35294117647058826,42,0.8857142857142857,0.11428571428571432,4,0.8461538461538461,0.2036681417160669,4,8,67.53225806451613,22.72939068100358,13.768817204301074,0.7586206896551724,0.9743589743589743,boot,0.680672268907563
S56,S56@0.2,ARG,0.2,False,0.855,reserved,ALL,4733,2340,779,0.3858018170293683,1826,0.6927350427350427,0.3072649572649573,719,0.3676341248900616,0.4645527240724504,704,1423,39.69905360921854,13.639084848802014,8.427091096718708,0.6599499128001542,0.7239400913926471,boot,0.4793999577435031
S56,S56@0.2,ARG,0.2,False,0.855,reserved,<40,978,279,104,0.4539877300613497,444,0.7634408602150538,0.23655913978494625,66,0.15384615384615385,0.459281340994896,118,184,46.080517439400346,15.723266638457355,9.651816478268755,0.6553672578698116,0.8525933935490912,boot,0.4662576687116564
S56,S56@0.2,ARG,0.2,False,0.855,reserved,40-59,1525,598,174,0.35672131147540986,544,0.7040133779264214,0.2959866220735786,177,0.3192307692307692,0.4426555894672551,200,377,32.55279846874063,11.305122732214953,7.0555875849098175,0.6312993159839609,0.7709050480138532,boot,0.4124590163934426
S56,S56@0.2,ARG,0.2,False,0.855,reserved,60+,2111,1428,479,0.3851255329227854,813,0.6743697478991597,0.3256302521008403,465,0.4053708439897698,0.4351461688009931,373,838,41.83852164037164,14.337833667057405,8.837696072394559,0.6383707489449287,0.7129931018050374,boot,0.5461866414021791
S56,S56@0.2,ARG,0.2,False,0.855,reserved,unknown,119,35,25,0.21008403361344538,25,0.6857142857142857,0.3142857142857143,11,0.35294117647058826,0.35758651286601595,13,24,13.03125,4.929398148148148,3.3090277777777772,0.5071199996848251,0.8314828492529975,CP,0.2605042016806723
S56_CONF,S56_CONF@0.2,ARG,0.2,True,0.855,reserved,ALL,4733,2340,779,0.7061060638073103,3342,0.905982905982906,0.09401709401709402,220,0.6551724137931034,0.5473038774696662,1203,1423,77.03030458333663,25.83144627805943,15.591674617003996,0.8868080531940109,0.9229163235051886,boot,0.7997042045214452
