arm,view,kind,budget,score,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,flag_rate,decision_esc_rate,decision_specificity
S56,S56,band,0.15,msp,0.81,oof,40-59,3112,397,224,0.1153598971722365,359,0.8136020151133502,0.18639798488664983,74,0.6991869918699187,0.8641741472133379,80,154,11.308160717034704,4.366638348661166,2.9783338749864585,0.17769922879177377,0.1018637532133676,0.972744014732965
S56,S56,band,0.15,msp,0.81,oof,60+,2512,893,559,0.13694267515923567,344,0.8152295632698768,0.18477043673012317,165,0.7724137931034483,0.8218783629735141,73,238,19.52701182387717,7.050909585576045,4.55568913791582,0.38813694267515925,0.3176751592356688,0.9116738727609636
S56,S56,band,0.15,msp,0.81,oof,unknown,38,2,1,0.02631578947368421,1,1.0,0.0,0,1.0,0.39765807962529276,0,0,6.5,2.796296296296296,2.0555555555555554,0.10526315789473684,0.10526315789473684,0.9444444444444444
COMB,COMB,band,0.15,entropy,0.875,oof,ALL,6981,1356,818,0.14997851310700472,1047,0.8856932153392331,0.11430678466076694,155,0.8607367475292004,0.8205682654700756,44,199,25.879043463780185,9.125478841705986,5.7747659172911465,0.35138232344936254,0.25683999427016185,0.8869333333333334
COMB,COMB,band,0.15,entropy,0.875,oof,<40,1319,64,34,0.4836997725549659,638,0.890625,0.109375,7,0.2222222222222222,0.47964573652647047,29,36,52.63749213671629,17.864770159129563,10.910225763612218,0.4852160727824109,0.03184230477634572,0.9888446215139443
COMB,COMB,band,0.15,entropy,0.875,oof,40-59,3112,397,224,0.02892030848329049,90,0.8942065491183879,0.10579345088161207,42,0.8842975206611571,0.764555979298736,0,42,15.272352346120922,5.661340665231412,3.7391383290535103,0.22654241645244216,0.22654241645244216,0.8710865561694291
COMB,COMB,band,0.15,entropy,0.875,oof,60+,2512,893,559,0.1265923566878981,318,0.8812989921612542,0.11870100783874582,106,0.8565629228687416,0.8304669184670109,15,121,22.856248817842125,8.138236145894567,5.194633611505053,0.43869426751592355,0.4140127388535032,0.8344657195799876
COMB,COMB,band,0.15,entropy,0.875,oof,unknown,38,2,1,0.02631578947368421,1,1.0,0.0,0,1.0,0.3600830162573504,0,0,12.0,4.592592592592592,3.111111111111111,0.15789473684210525,0.15789473684210525,0.8888888888888888
COMB_global,COMB,global,0.15,entropy,,oof,ALL,6981,1356,818,0.14997851310700472,1047,0.8938053097345132,0.10619469026548678,144,0.8346727898966705,0.8516517899498736,55,199,17.38298613861386,6.3506722405573885,4.144209460946095,0.29279472854891847,0.25683999427016185,0.8869333333333334
COMB_global,COMB,global,0.15,entropy,,oof,<40,1319,64,34,0.02350265352539803,31,0.5,0.5,32,0.3469387755102041,0.7852973042521126,4,36,5.101992031872509,2.339707835325365,1.7872509960159362,0.04397270659590599,0.03184230477634572,0.9888446215139443
COMB_global,COMB,global,0.15,entropy,,oof,40-59,3112,397,224,0.08161953727506427,254,0.8942065491183879,0.10579345088161207,42,0.8526315789473684,0.7985061847815244,0,42,15.272352346120922,5.661340665231412,3.7391383290535103,0.22654241645244216,0.22654241645244216,0.8710865561694291
COMB_global,COMB,global,0.15,entropy,,oof,60+,2512,893,559,0.3021496815286624,759,0.921612541993281,0.07838745800671898,70,0.8696461824953445,0.8917009312692149,51,121,30.99013386749242,10.794757525746684,6.755682257397535,0.5075636942675159,0.4140127388535032,0.8344657195799876
COMB_global,COMB,global,0.15,entropy,,oof,unknown,38,2,1,0.07894736842105263,3,1.0,0.0,0,,0.2784503631961259,0,0,12.0,4.592592592592592,3.111111111111111,0.15789473684210525,0.15789473684210525,0.8888888888888888
CAL_S56,CAL,band,0.15,entropy,0.82,oof,ALL,6981,1356,818,0.14997851310700472,1047,0.827433628318584,0.17256637168141598,234,0.7730358874878759,0.8408352749212507,152,386,19.633035294117647,7.085536779560308,4.5760370766488405,0.2862054146970348,0.17547629279472854,0.9546666666666667
CAL_S56,CAL,band,0.15,entropy,0.82,oof,<40,1319,64,34,0.33965125094768767,448,0.84375,0.15625,10,0.16666666666666666,0.4669347452584852,31,41,38.023107569721105,13.091722000885348,8.105444887118194,0.3411675511751327,0.025018953752843062,0.9920318725099602
CAL_S56,CAL,band,0.15,entropy,0.82,oof,40-59,3112,397,224,0.1192159383033419,371,0.8236775818639799,0.17632241813602012,70,0.7058823529411765,0.8600122038581933,74,144,11.536225860408534,4.441124270907838,3.0221039530076985,0.18155526992287918,0.10668380462724936,0.970902394106814
CAL_S56,CAL,band,0.15,entropy,0.82,oof,60+,2512,893,559,0.09036624203821655,227,0.8275475923852184,0.17245240761478164,154,0.8023106546854942,0.8172231211293793,47,201,18.73399607669747,6.791911176564494,4.403494196537898,0.38972929936305734,0.34076433121019106,0.8987029030265596
CAL_S56,CAL,band,0.15,entropy,0.82,oof,unknown,38,2,1,0.02631578947368421,1,1.0,0.0,0,1.0,0.39765807962529276,0,0,6.5,2.796296296296296,2.0555555555555554,0.10526315789473684,0.10526315789473684,0.9444444444444444
LAM_S56,LAM,band,0.15,entropy,0.875,oof,ALL,6981,1356,818,0.14997851310700472,1047,0.883480825958702,0.11651917404129797,158,0.844946025515211,0.8327995711294829,56,214,23.232061435726212,8.260976293823038,5.266759265442404,0.33147113594040967,0.25755622403667094,0.8833777777777778
LAM_S56,LAM,band,0.15,entropy,0.875,oof,<40,1319,64,34,0.3555724033358605,469,0.890625,0.109375,7,0.5882352941176471,0.9275256270202151,17,24,38.46596770811491,13.236359823862445,8.19043824701195,0.3639120545868082,0.0758150113722517,0.952191235059761
LAM_S56,LAM,band,0.15,entropy,0.875,oof,40-59,3112,397,224,0.010925449871465296,34,0.8967254408060453,0.10327455919395467,41,0.8943298969072165,0.7531705474909386,0,41,15.272925072940591,5.661527717425042,3.7392482463219316,0.22718508997429307,0.22718508997429307,0.8707182320441988
LAM_S56,LAM,band,0.15,entropy,0.875,oof,60+,2512,893,559,0.2161624203821656,543,0.8768197088465846,0.12318029115341544,110,0.8202614379084967,0.8687304689045211,39,149,24.57190830156262,8.69856937795143,5.523901593229188,0.4462579617834395,0.39211783439490444,0.8511426806670784
LAM_S56,LAM,band,0.15,entropy,0.875,oof,unknown,38,2,1,0.02631578947368421,1,1.0,0.0,0,1.0,0.3600830162573504,0,0,12.0,4.592592592592592,3.111111111111111,0.15789473684210525,0.15789473684210525,0.8888888888888888
S56,S56,band,0.2,msp,0.855,oof,ALL,6981,1356,818,0.19997135080933964,1396,0.8584070796460177,0.1415929203539823,192,0.7780346820809249,0.8649604747790421,229,421,21.03152164948454,7.542281481481481,4.844433447880871,0.30668958601919494,0.17017619252256125,0.9550222222222222
S56,S56,band,0.2,msp,0.855,oof,<40,1319,64,34,0.3169067475360121,418,0.875,0.125,8,0.5789473684210527,0.9100684429103791,21,29,34.71747296528172,12.012103965092013,7.471030165054069,0.3260045489006823,0.052312357846853674,0.9729083665338646
S56,S56,band,0.2,msp,0.855,oof,40-59,3112,397,224,0.15359897172236503,478,0.8589420654911839,0.1410579345088161,56,0.7294685990338164,0.8810131692039065,98,154,13.73569773658884,5.1594703045424835,3.4442248181332116,0.20597686375321336,0.1018637532133676,0.972744014732965
S56,S56,band,0.2,msp,0.855,oof,60+,2512,893,559,0.1982484076433121,498,0.8566629339305711,0.14333706606942886,128,0.7990580847723705,0.8395827981068288,110,238,22.414090033789922,7.993827384773139,5.109774854969782,0.4239649681528662,0.3176751592356688,0.9116738727609636
S56,S56,band,0.2,msp,0.855,oof,unknown,38,2,1,0.05263157894736842,2,1.0,0.0,0,1.0,0.39757869249394673,0,0,9.25,3.694444444444444,2.5833333333333335,0.13157894736842105,0.10526315789473684,0.9444444444444444
COMB,COMB,band,0.2,entropy,0.89,oof,ALL,6981,1356,818,0.19997135080933964,1396,0.8930678466076696,0.10693215339233042,145,0.8596321393998064,0.8369049075199223,54,199,29.733315276630886,10.38428142031379,6.5144746490503715,0.3823234493625555,0.25683999427016185,0.8869333333333334
COMB,COMB,band,0.2,entropy,0.89,oof,<40,1319,64,34,0.6080363912054587,802,0.90625,0.09375,6,0.0,0.4275582573454914,30,36,65.76142327242752,22.151037230388788,13.428960021981041,0.6080363912054587,0.03184230477634572,0.9888446215139443
COMB,COMB,band,0.2,entropy,0.89,oof,40-59,3112,397,224,0.04466580976863753,139,0.8942065491183879,0.10579345088161207,42,0.8771929824561403,0.7844829183577133,0,42,15.272352346120922,5.661340665231412,3.7391383290535103,0.22654241645244216,0.22654241645244216,0.8710865561694291
