label,budget,a,b,band,stat,value_a,value_b,delta,ci_lo,ci_hi
comb_vs_s56,0.25,COMB@0.25,S56@0.25,ALL,flag_rate,0.5787027255440524,0.5254595394041834,0.053243186139869,0.043304194683687534,0.06342323474413235
comb_vs_s56,0.25,COMB@0.25,S56@0.25,ALL,retained_macro_f1,0.5132349589455851,0.48348559517193523,0.029749363773649895,0.004668282966296416,0.05341844452070883
comb_vs_lam,0.25,COMB@0.25,LAM@0,60+,system_sens,0.8235294117647058,0.5553221288515406,0.2682072829131652,0.23222158428610407,0.3062862348077615
comb_vs_lam,0.25,COMB@0.25,LAM@0,ALL,system_sens,0.7918803418803418,0.5794871794871795,0.2123931623931623,0.1869191849411646,0.24237040104921653
comb_vs_lam,0.25,COMB@0.25,LAM@0,ALL,flag_rate,0.5787027255440524,0.37080076061694484,0.2079019649271076,0.1895972368687539,0.22686941558605986
comb_vs_s56,0.3,COMB@0.3,S56@0.3,<40,system_sens,0.8566308243727598,0.8315412186379928,0.02508960573476704,0.0038160710154984496,0.05158913196274812
comb_vs_s56,0.3,COMB@0.3,S56@0.3,<40,referral_rate,0.6298568507157464,0.5378323108384458,0.09202453987730053,0.0710565309109172,0.11306209315533586
comb_vs_s56,0.3,COMB@0.3,S56@0.3,<40,flag_rate,0.6298568507157464,0.5449897750511248,0.0848670756646216,0.06489235055724418,0.10584565899874794
comb_vs_s56,0.3,COMB@0.3,S56@0.3,40-59,system_sens,0.7491638795986622,0.7759197324414716,-0.026755852842809458,-0.04019864770935633,-0.015409562090815884
comb_vs_s56,0.3,COMB@0.3,S56@0.3,60+,system_sens,0.8032212885154062,0.7878151260504201,0.01540616246498605,0.0006853424383045843,0.0318123534785432
comb_vs_s56,0.3,COMB@0.3,S56@0.3,ALL,system_sens,0.7952991452991452,0.7901709401709401,0.00512820512820511,-0.005111059869620313,0.01559843238011488
comb_vs_s56,0.3,COMB@0.3,S56@0.3,ALL,referral_rate,0.5032748785125714,0.5237692795267272,-0.020494401014155894,-0.032091184740641286,-0.009757394788206693
comb_vs_s56,0.3,COMB@0.3,S56@0.3,ALL,flag_rate,0.5947601943798859,0.5810268328755546,0.013733361504331354,0.005369339339099702,0.022871943080620415
comb_vs_s56,0.3,COMB@0.3,S56@0.3,ALL,retained_macro_f1,0.5315588697519014,0.5158266961031539,0.01573217364874746,-0.02172051701243622,0.04883529970593649
comb_vs_lam,0.3,COMB@0.3,LAM@0,60+,system_sens,0.8032212885154062,0.5553221288515406,0.24789915966386555,0.21337681159420285,0.28415162800007765
comb_vs_lam,0.3,COMB@0.3,LAM@0,ALL,system_sens,0.7952991452991452,0.5794871794871795,0.2158119658119657,0.19109835502120429,0.24321980940478052
comb_vs_lam,0.3,COMB@0.3,LAM@0,ALL,flag_rate,0.5947601943798859,0.37080076061694484,0.22395943376294108,0.2065563886972663,0.2414929566308918
