arm,view,kind,budget,score,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,system_sens_ci_lo,system_sens_ci_hi,system_sens_ci_method,flag_rate,decision_esc_rate,decision_specificity
S56,S56,band,0.2,msp,0.855,reserved,unknown,119,35,25,0.21008403361344538,25,0.6857142857142857,0.3142857142857143,11,0.35294117647058826,0.35758651286601595,13,24,13.03125,4.929398148148148,3.3090277777777772,0.5071199996848251,0.8314828492529975,CP,0.2605042016806723,0.11764705882352941,0.9642857142857143
COMB,COMB,band,0.2,entropy,0.89,reserved,ALL,4733,2340,779,0.372068455525037,1761,0.7568376068376068,0.2431623931623932,569,0.5285832642916322,0.500526845530997,360,929,46.369906533808496,15.817780921816242,9.70735579941779,0.7263811291137894,0.786098277913168,boot,0.5495457426579337,0.3807310373969998,0.8366067697450899
COMB,COMB,band,0.2,entropy,0.89,reserved,<40,978,279,104,0.6083844580777096,595,0.8458781362007168,0.15412186379928317,43,0.0,0.13412698412698412,163,206,61.109714846875676,20.63179239106714,12.536207899905433,0.7669286495352652,0.9093834635363072,boot,0.6083844580777096,0.0787321063394683,0.994277539341917
COMB,COMB,band,0.2,entropy,0.89,reserved,40-59,1525,598,174,0.16065573770491803,245,0.6923076923076923,0.3076923076923077,184,0.5670588235294117,0.4230659646335756,0,184,35.400215749730314,12.235087298733468,7.6020616085341,0.6182025336150874,0.7618151492291008,boot,0.41770491803278686,0.41770491803278686,0.7594390507011866
COMB,COMB,band,0.2,entropy,0.89,reserved,60+,2111,1428,479,0.4268119374703932,901,0.7661064425770309,0.23389355742296913,334,0.536754507628294,0.51678384465787,197,531,44.327223428202814,15.150641995069606,9.315325708442964,0.7289134116537324,0.8006619812493245,boot,0.6267171956418759,0.4936049265750829,0.787701317715959
COMB,COMB,band,0.2,entropy,0.89,reserved,unknown,119,35,25,0.16806722689075632,20,0.7714285714285715,0.22857142857142854,8,0.5555555555555556,0.18538315988647117,0,8,30.02777777777778,10.480452674897117,6.570987654320987,0.5986367438926854,0.8957895680521848,CP,0.3865546218487395,0.3865546218487395,0.7738095238095238
COMB_global,COMB,global,0.2,entropy,,reserved,ALL,4733,2340,779,0.4204521445172195,1990,0.7649572649572649,0.2350427350427351,550,0.40021810250817885,0.5097104196531931,379,929,35.937179436298145,12.410459277174812,7.7051152453501475,0.732092846158396,0.7951624094522369,boot,0.5146841326854004,0.3807310373969998,0.8366067697450899
COMB_global,COMB,global,0.2,entropy,,reserved,<40,978,279,104,0.13803680981595093,135,0.4157706093189964,0.5842293906810037,163,0.13756613756613756,0.39345846174148624,43,206,17.01039662572147,6.228984756548765,4.072702382714223,0.28186346476510066,0.5413693215339231,boot,0.16666666666666666,0.0787321063394683,0.994277539341917
COMB_global,COMB,global,0.2,entropy,,reserved,40-59,1525,598,174,0.30754098360655735,469,0.7040133779264214,0.2959866220735786,177,0.4080267558528428,0.43005013500327544,7,184,35.89011369139589,12.395087636583842,7.696082425621434,0.6332669656938961,0.7713388543823326,boot,0.42688524590163934,0.41770491803278686,0.7594390507011866
COMB_global,COMB,global,0.2,entropy,,reserved,60+,2111,1428,479,0.6385599242065372,1348,0.8578431372549019,0.1421568627450981,203,0.5143540669856459,0.5490264774309932,328,531,59.97012340514537,20.259602593599663,12.317498431290526,0.8281610798450606,0.88456658051894,boot,0.7456181904310754,0.4936049265750829,0.787701317715959
COMB_global,COMB,global,0.2,entropy,,reserved,unknown,119,35,25,0.31932773109243695,38,0.8,0.19999999999999996,7,0.36363636363636365,0.1868287740628166,1,8,30.464285714285715,10.623015873015872,6.654761904761904,0.6306211554775547,0.9155939838394355,CP,0.40336134453781514,0.3865546218487395,0.7738095238095238
CAL_S56,CAL,band,0.2,entropy,0.845,reserved,ALL,4733,2340,779,0.3986900485949715,1887,0.7354700854700855,0.2645299145299145,619,0.42738205365402404,0.5060688729611544,767,1386,38.406676892437346,13.216995483388626,8.179059201578882,,,,0.5041200084512993,0.2245932812169871,0.9544504805683243
