arm,budget,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,system_sens_ci_lo,system_sens_ci_hi,system_sens_ci_method,score,role
global,0.1,,val,60+,558,226,132,0.17025089605734767,95,0.8672566371681416,0.1327433628318584,30,0.8305084745762712,0.8268583018418002,21,51,22.661574870912215,8.074655765920827,5.157271944922547,0.7955023474178404,0.9132557864903165,boot,msp,primary
global,0.1,,val,unknown,10,0,0,0.0,0,,,0,,0.2857142857142857,0,0,,,,,,,msp,primary
band,0.15,0.81,val,ALL,1532,308,175,0.1566579634464752,240,0.8441558441558441,0.1558441558441559,48,0.7894736842105263,0.8677054159692573,40,88,18.629864253393666,6.757901793195911,4.3835093011563595,0.7947240259740259,0.8950858704137392,boot,msp,primary
band,0.15,0.81,val,<40,267,22,10,0.30711610486891383,82,0.8636363636363636,0.13636363636363635,3,0.4,0.7702005730659025,7,10,31.412459720730393,10.932688865019692,6.836734693877549,0.6508779027425919,0.9709441488712534,CP,msp,primary
band,0.15,0.81,val,40-59,697,60,33,0.11477761836441894,80,0.7833333333333333,0.21666666666666667,13,0.6666666666666666,0.8871641168427166,14,27,13.301012057850961,5.017502254584321,3.3608002939309927,0.6610169491525424,0.8929933414043585,boot,msp,primary
band,0.15,0.81,val,60+,558,226,132,0.13978494623655913,78,0.8584070796460177,0.1415929203539823,32,0.8260869565217391,0.8179716883915461,19,51,20.800614830455842,7.466867469879518,4.800117997764252,0.788791585721224,0.9071808955556795,boot,msp,primary
band,0.15,0.81,val,unknown,10,0,0,0.0,0,,,0,,0.2857142857142857,0,0,,,,,,,msp,primary
global,0.15,,val,ALL,1532,308,175,0.15992167101827676,245,0.8603896103896104,0.13961038961038963,43,0.7971698113207547,0.8879886597612325,45,88,16.60510543840178,6.09661692769351,3.9949192255518553,0.815047770700637,0.9091934974747474,boot,msp,primary
global,0.15,,val,<40,267,22,10,0.11610486891385768,31,0.5909090909090909,0.40909090909090906,9,0.4,0.7786669192038765,1,10,18.779591836734692,6.806802721088435,4.412244897959183,0.36354696172973133,0.7929068770028508,CP,msp,primary
global,0.15,,val,40-59,697,60,33,0.10760401721664276,75,0.7833333333333333,0.21666666666666667,13,0.675,0.8700142885830748,14,27,12.705801796987208,4.823106984201209,3.246568021644009,0.6610169491525424,0.8929933414043585,boot,msp,primary
global,0.15,,val,60+,558,226,132,0.24910394265232974,139,0.9070796460176991,0.09292035398230092,21,0.8662420382165605,0.871862719988657,30,51,27.62788715838965,9.696650014692919,6.11040258595357,0.848932210031348,0.9439710304731356,boot,msp,primary
global,0.15,,val,unknown,10,0,0,0.0,0,,,0,,0.2857142857142857,0,0,,,,,,,msp,primary
band,0.2,0.855,val,ALL,1532,308,175,0.20496083550913838,314,0.8701298701298701,0.1298701298701299,40,0.8048780487804879,0.8882415376504612,48,88,22.193590869183495,7.921812506096966,5.0674568334796595,0.8160469107551488,0.9150957690108634,boot,msp,primary
band,0.2,0.855,val,<40,267,22,10,0.3445692883895131,92,0.9090909090909091,0.09090909090909094,2,0.5,0.6419965576592083,8,10,33.89224489795918,11.742585034013604,7.3126530612244895,0.7083872584460665,0.988794413975849,CP,msp,primary
band,0.2,0.855,val,40-59,697,60,33,0.15064562410329985,105,0.7833333333333333,0.21666666666666667,13,0.6285714285714286,0.8907397278438003,14,27,17.07067704332142,6.248672300344032,4.084271351748556,0.6610169491525424,0.8929933414043585,boot,msp,primary
band,0.2,0.855,val,60+,558,226,132,0.20967741935483872,117,0.8893805309734514,0.11061946902654862,25,0.8493975903614458,0.8547143891537762,26,51,25.475543966912422,8.993696177745809,5.697326619912485,0.8221823617339312,0.9297961779487498,boot,msp,primary
band,0.2,0.855,val,unknown,10,0,0,0.0,0,,,0,,0.2857142857142857,0,0,,,,,,,msp,primary
global,0.2,,val,ALL,1532,308,175,0.19908616187989556,305,0.8733766233766234,0.12662337662337664,39,0.7989690721649485,0.9130547869794299,49,88,19.614366936365624,7.079439706489783,4.572454260514614,0.8280228927123832,0.9272166283084005,boot,msp,primary
global,0.2,,val,<40,267,22,10,0.15355805243445692,41,0.5909090909090909,0.40909090909090906,9,0.35714285714285715,0.7784144983294523,1,10,23.566405023547876,8.3701726844584,5.330926216640502,0.36354696172973133,0.7929068770028508,CP,msp,primary
global,0.2,,val,40-59,697,60,33,0.13486370157819225,94,0.7833333333333333,0.21666666666666667,13,0.6486486486486487,0.8991221794958076,14,27,15.28504626073015,5.665486489194697,3.741574534887605,0.6610169491525424,0.8929933414043585,boot,msp,primary
global,0.2,,val,60+,558,226,132,0.3046594982078853,170,0.9247787610619469,0.0752212389380531,17,0.8811188811188811,0.8960934254424799,34,51,31.95497780596068,11.10987490632386,6.940854326396495,0.8695397019799959,0.9647948846632837,boot,msp,primary
global,0.2,,val,unknown,10,0,0,0.0,0,,,0,,0.2857142857142857,0,0,,,,,,,msp,primary
band,0.25,0.88,val,ALL,1532,308,175,0.24347258485639686,373,0.8863636363636364,0.11363636363636365,35,0.8128342245989305,0.9105942210689327,53,88,24.99924585218703,8.838137534215965,5.605915870621752,0.8420806689621249,0.9269970351991252,boot,msp,primary
