cohort,band,lambda,expected_cost,escalation_sens,escalation_spec,referral_rate
ham_oof,40-59,0.82,0.24967866323907456,0.9219143576826196,0.8346224677716391,0.26188946015424164
ham_oof,40-59,0.83,0.24839331619537275,0.9269521410579346,0.8287292817679558,0.26767352185089976
ham_oof,40-59,0.84,0.2474293059125964,0.9319899244332494,0.8224677716390424,0.2737789203084833
ham_oof,40-59,0.85,0.23987789203084833,0.9420654911838791,0.8162062615101289,0.2805269922879177
ham_oof,40-59,0.86,0.24084190231362468,0.9445843828715366,0.8114180478821362,0.28502570694087404
ham_oof,40-59,0.87,0.24180591259640102,0.947103274559194,0.8066298342541437,0.28952442159383035
ham_oof,40-59,0.88,0.24919665809768637,0.947103274559194,0.798158379373849,0.2969151670951157
ham_oof,40-59,0.89,0.25819408740359895,0.947103274559194,0.7878453038674034,0.3059125964010283
ham_oof,40-59,0.9,0.26590616966580977,0.9496221662468514,0.7749539594843462,0.31748071979434445
ham_oof,40-59,0.91,0.27522493573264784,0.9521410579345088,0.7605893186003683,0.33033419023136246
ham_oof,40-59,0.92,0.2871143958868895,0.9546599496221663,0.7425414364640884,0.34640102827763497
ham_oof,40-59,0.93,0.29225578406169667,0.964735516372796,0.7219152854511971,0.36568123393316193
ham_oof,40-59,0.94,0.31217866323907456,0.9672544080604534,0.6953959484346225,0.38913881748071977
ham_oof,40-59,0.95,0.3396529562982005,0.9722921914357683,0.6570902394106815,0.4232005141388175
ham_oof,40-59,0.96,0.37853470437017994,0.9848866498740554,0.5941068139963167,0.47975578406169667
ham_oof,40-59,0.97,0.5298843187660668,0.9899244332493703,0.41325966850828727,0.6381748071979434
ham_oof,40-59,0.98,0.837082262210797,1.0,0.04751381215469613,0.958547557840617
ham_oof,40-59,0.99,0.868573264781491,1.0,0.01141804788213628,0.9900385604113111
ham_oof,40-59,1.0,0.87853470437018,1.0,0.0,1.0
ham_oof,40-59,1.01,0.87853470437018,1.0,0.0,1.0
ham_oof,40-59,1.02,0.87853470437018,1.0,0.0,1.0
ham_oof,40-59,1.03,0.87853470437018,1.0,0.0,1.0
ham_oof,40-59,1.04,0.87853470437018,1.0,0.0,1.0
ham_oof,40-59,1.05,0.87853470437018,1.0,0.0,1.0
ham_oof,40-59,1.06,0.87853470437018,1.0,0.0,1.0
ham_oof,40-59,1.07,0.87853470437018,1.0,0.0,1.0
ham_oof,40-59,1.08,0.87853470437018,1.0,0.0,1.0
ham_oof,40-59,1.09,0.87853470437018,1.0,0.0,1.0
ham_oof,40-59,1.1,0.87853470437018,1.0,0.0,1.0
ham_oof,40-59,1.11,0.87853470437018,1.0,0.0,1.0
ham_oof,40-59,1.12,0.87853470437018,1.0,0.0,1.0
ham_oof,40-59,1.13,0.87853470437018,1.0,0.0,1.0
ham_oof,40-59,1.14,0.87853470437018,1.0,0.0,1.0
ham_oof,40-59,1.15,0.87853470437018,1.0,0.0,1.0
ham_oof,40-59,1.16,0.87853470437018,1.0,0.0,1.0
ham_oof,40-59,1.17,0.87853470437018,1.0,0.0,1.0
ham_oof,40-59,1.18,0.87853470437018,1.0,0.0,1.0
ham_oof,40-59,1.19,0.87853470437018,1.0,0.0,1.0
ham_oof,40-59,1.2,0.87853470437018,1.0,0.0,1.0
ham_oof,60+,0.0,0.9164012738853503,0.7379619260918253,0.9141445336627548,0.3176751592356688
ham_oof,60+,0.01,0.9116242038216561,0.7402015677491601,0.9122915379864114,0.3196656050955414
ham_oof,60+,0.02,0.9074442675159236,0.7424412094064949,0.9104385423100679,0.321656050955414
ham_oof,60+,0.03,0.9008757961783439,0.7446808510638298,0.9079678814082767,0.32404458598726116
ham_oof,60+,0.04,0.8949044585987261,0.7469204927211646,0.9054972205064855,0.32643312101910826
ham_oof,60+,0.05,0.8903264331210191,0.7491601343784995,0.9036442248301421,0.3284235668789809
ham_oof,60+,0.06,0.8726114649681529,0.7547592385218365,0.9011735639283508,0.3320063694267516
ham_oof,60+,0.07,0.866640127388535,0.7569988801791714,0.8993205682520075,0.3339968152866242
ham_oof,60+,0.08,0.8570859872611465,0.7603583426651735,0.8987029030265596,0.3355891719745223
