band,lambda,expected_cost,escalation_sens,escalation_spec,referral_rate
40-59,0.68,0.26976221079691515,0.8690176322418136,0.8920810313075507,0.20501285347043702
40-59,0.69,0.2654241645244216,0.8740554156171285,0.8895027624309392,0.20790488431876605
40-59,0.7,0.26317480719794345,0.8790931989924433,0.8847145488029466,0.2127249357326478
40-59,0.71,0.2602827763496144,0.8841309823677582,0.879926335174954,0.21754498714652956
40-59,0.72,0.2589974293059126,0.8866498740554156,0.8777163904235727,0.21979434447300772
40-59,0.73,0.2551413881748072,0.8916876574307305,0.8747697974217311,0.22300771208226222
40-59,0.74,0.25224935732647813,0.8967254408060453,0.8707182320441988,0.22718508997429307
40-59,0.75,0.25482005141388175,0.8967254408060453,0.8674033149171271,0.2300771208226221
40-59,0.76,0.25626606683804626,0.8967254408060453,0.8655616942909761,0.23168380462724936
40-59,0.77,0.25610539845758357,0.8992443324937027,0.861878453038674,0.2352185089974293
40-59,0.78,0.2538560411311054,0.9042821158690176,0.8570902394106814,0.24003856041131105
40-59,0.79,0.2544987146529563,0.906801007556675,0.8523020257826888,0.24453727506426734
40-59,0.8,0.2609254498714653,0.906801007556675,0.8445672191528545,0.2512853470437018
40-59,0.81,0.25803341902313626,0.9118387909319899,0.8401473296500921,0.25578406169665807
40-59,0.82,0.25160668380462725,0.9193954659949622,0.8360957642725598,0.2602827763496144
40-59,0.83,0.24646529562982006,0.9269521410579346,0.830939226519337,0.265745501285347
40-59,0.84,0.2461439588688946,0.9319899244332494,0.8239410681399632,0.27249357326478146
40-59,0.85,0.24566195372750643,0.9370277078085643,0.8169429097605894,0.27924164524421596
40-59,0.86,0.24084190231362468,0.9445843828715366,0.8114180478821362,0.28502570694087404
40-59,0.87,0.2421272493573265,0.947103274559194,0.8062615101289135,0.2898457583547558
40-59,0.88,0.24983933161953728,0.947103274559194,0.7974217311233885,0.2975578406169666
40-59,0.89,0.2598007712082262,0.947103274559194,0.7860036832412522,0.30751928020565555
40-59,0.9,0.2634961439588689,0.9521410579345088,0.7742173112338858,0.3184447300771208
40-59,0.91,0.27795629820051415,0.9521410579345088,0.7572744014732965,0.3332262210796915
40-59,0.92,0.28775706940874035,0.9546599496221663,0.7421731123388582,0.3467223650385604
40-59,0.93,0.296754498714653,0.9622166246851386,0.7204419889502762,0.3666452442159383
40-59,0.94,0.3184447300771208,0.964735516372796,0.6917127071823205,0.39203084832904883
40-59,0.95,0.3454370179948586,0.9672544080604534,0.6567219152854512,0.42287917737789205
40-59,0.96,0.3833547557840617,0.9848866498740554,0.5885819521178637,0.4845758354755784
40-59,0.97,0.531491002570694,0.9899244332493703,0.41141804788213626,0.6397814910025706
40-59,0.98,0.8142673521850899,1.0,0.07366482504604052,0.9357326478149101
40-59,0.99,0.8676092544987146,1.0,0.012523020257826888,0.9890745501285347
40-59,1.0,0.87853470437018,1.0,0.0,1.0
40-59,1.01,0.87853470437018,1.0,0.0,1.0
40-59,1.02,0.87853470437018,1.0,0.0,1.0
40-59,1.03,0.87853470437018,1.0,0.0,1.0
40-59,1.04,0.87853470437018,1.0,0.0,1.0
40-59,1.05,0.87853470437018,1.0,0.0,1.0
