band,referral,sens_constant,sens_oracle_bins,sens_mass
<40,0.09097801364670205,0.625,0.671875,0.640625
<40,0.09173616376042457,0.625,0.671875,0.640625
<40,0.09249431387414708,0.625,0.671875,0.640625
<40,0.0932524639878696,0.640625,0.671875,0.640625
<40,0.09401061410159212,0.640625,0.671875,0.640625
<40,0.09476876421531463,0.640625,0.6875,0.640625
<40,0.09552691432903715,0.640625,0.6875,0.640625
<40,0.09628506444275967,0.640625,0.6875,0.640625
<40,0.09704321455648218,0.640625,0.6875,0.640625
<40,0.0978013646702047,0.640625,0.6875,0.640625
<40,0.09855951478392722,0.640625,0.6875,0.640625
<40,0.09931766489764973,0.640625,0.6875,0.640625
<40,0.10007581501137225,0.640625,0.6875,0.640625
<40,0.10083396512509477,0.640625,0.6875,0.640625
<40,0.10159211523881728,0.640625,0.6875,0.640625
<40,0.1023502653525398,0.640625,0.6875,0.640625
<40,0.10310841546626232,0.640625,0.703125,0.640625
<40,0.10386656557998483,0.640625,0.703125,0.65625
<40,0.10462471569370735,0.640625,0.703125,0.65625
<40,0.10538286580742987,0.65625,0.703125,0.65625
<40,0.10614101592115238,0.65625,0.703125,0.65625
<40,0.1068991660348749,0.65625,0.703125,0.65625
<40,0.10765731614859743,0.65625,0.703125,0.65625
<40,0.10841546626231995,0.65625,0.703125,0.65625
<40,0.10917361637604246,0.65625,0.703125,0.65625
<40,0.10993176648976498,0.65625,0.703125,0.65625
<40,0.1106899166034875,0.65625,0.703125,0.65625
<40,0.11144806671721001,0.65625,0.703125,0.671875
<40,0.11220621683093253,0.65625,0.703125,0.671875
<40,0.11296436694465505,0.65625,0.71875,0.671875
<40,0.11372251705837756,0.65625,0.71875,0.671875
<40,0.11448066717210008,0.65625,0.71875,0.671875
<40,0.1152388172858226,0.65625,0.71875,0.671875
<40,0.11599696739954511,0.65625,0.71875,0.671875
<40,0.11675511751326763,0.65625,0.71875,0.671875
<40,0.11751326762699014,0.65625,0.71875,0.6875
<40,0.11827141774071266,0.65625,0.71875,0.6875
<40,0.11902956785443518,0.65625,0.71875,0.6875
<40,0.1197877179681577,0.65625,0.71875,0.6875
<40,0.12054586808188021,0.65625,0.71875,0.6875
<40,0.12130401819560273,0.65625,0.734375,0.6875
<40,0.12206216830932524,0.65625,0.734375,0.6875
<40,0.12282031842304776,0.65625,0.734375,0.6875
<40,0.12357846853677028,0.671875,0.734375,0.6875
<40,0.1243366186504928,0.671875,0.734375,0.6875
<40,0.12509476876421532,0.671875,0.734375,0.6875
<40,0.12585291887793784,0.671875,0.734375,0.6875
<40,0.12661106899166036,0.671875,0.734375,0.6875
<40,0.12736921910538287,0.671875,0.734375,0.6875
<40,0.1281273692191054,0.671875,0.734375,0.6875
<40,0.1288855193328279,0.671875,0.734375,0.703125
<40,0.12964366944655042,0.671875,0.734375,0.703125
<40,0.13040181956027294,0.671875,0.734375,0.703125
<40,0.13115996967399546,0.671875,0.734375,0.703125
<40,0.13191811978771797,0.671875,0.734375,0.703125
<40,0.1326762699014405,0.671875,0.75,0.703125
<40,0.133434420015163,0.671875,0.75,0.703125
<40,0.13419257012888552,0.671875,0.75,0.703125
<40,0.13495072024260804,0.671875,0.75,0.703125
<40,0.13570887035633056,0.671875,0.75,0.703125
<40,0.13646702047005307,0.6875,0.75,0.703125
<40,0.1372251705837756,0.6875,0.75,0.703125
<40,0.1379833206974981,0.6875,0.75,0.703125
<40,0.13874147081122062,0.6875,0.75,0.703125
<40,0.13949962092494314,0.6875,0.75,0.703125
<40,0.14025777103866566,0.6875,0.75,0.703125
